province,store_id,pos,acc_name,acc_num
Hồ Chí Minh,027,ShopDunk Lê Văn Việt - HCM,"ĐỊA ĐIỂM KINH DOANH LÊ VĂN VIỆT - CHI 
NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN 
HESMAN VIỆT NAM",19036927538208
Hồ Chí Minh,028,ShopDunk 274 Xô Viết Nghệ Tĩnh - HCM,"ĐỊA ĐIỂM KINH DOANH SHOPDUNK XÔ VIẾT NGHỆ TĨNH - CHI
NHÁNH HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM",19036927538178
Ninh Bình,029,ShopDunk 1019 Trần Hưng Đạo - Ninh Bình,CHI NHÁNH NINH BÌNH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19133189631015
Thái Bình,030,ShopDunk 8 Shophouse Vincom - Thái Bình,CHI NHÁNH SHOPDUNK THÁI BÌNH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19133189234016
Hải Dương,031,ShopDunk 39B Đại lộ Hồ Chí Minh - Hải Dương,CHI NHÁNH HẢI DƯƠNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19133187656355
Nam Định,032,ShopDunk 256 Trần Hưng Đạo - Nam Định,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19133188746013
Nam Định,033,ShopDunk Ngã 3 Đường Chánh - Yên Định,CHI NHÁNH NAM ĐỊNH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033188746019
Hà Nam,034,ShopDunk 116 Biên Hoà - Hà Nam,CHI NHÁNH SHOPDUNK HÀ NAM - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036925114011
Nghệ An,035,ShopDunk 85 Nguyễn Thị Minh Khai - Vinh,CHI NHÁNH SHOPDUNK VINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036925567014
Đà Nẵng,036,ShopDunk 58 Nguyễn Văn Linh - Đà Nẵng,CHI NHÁNH SHOPDUNK ĐÀ NẴNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036916865010
Đồng Nai,037,ShopDunk 1176 Phạm Văn Thuận - Đồng Nai,CHI NHÁNH ĐỒNG NAI - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19038219114018
Bình Dương,038,ShopDunk 515 Hưng Lộc - Bình Dương,CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19038219219014
Hải Phòng,039,ShopDunk 120 Trần Phú - Hải Phòng,CHI NHÁNH HẢI PHÒNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19038309496661
Hà Nội,040,ShopDunk 157 Xã Đàn - Hà Nội,ĐỊA ĐIỂM KINH DOANH  XÃ ĐÀN - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562186
Hà Nội,041,ShopDunk Chương Mỹ - Hà Nội,ĐỊA ĐIỂM KINH DOANH KHU XUÂN HÀ - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562143
Hà Nội,042,ShopDunk Quang Trung - Hà Nội,ĐỊA ĐIỂM KINH DOANH QUANG TRUNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187562194
Hồ Chí Minh,043,ShopDunk 74 Quang Trung - HCM,ĐỊA ĐIÊM KINH DOANH QUANG TRUNG - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538283
Hồ Chí Minh,044,ShopDunk 523 Nguyễn Thị Thập - HCM,ĐỊA ĐIỂM KINH DOANH NGUYỄN THỊ THẬP - CHI NHÁNH THÀNH PHỐ HỒ CHÍ MINH - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19036927538275
Bình Dương,045,ShopDunk Thủ Dầu Một - Bình Dương,ĐỊA ĐIỂM KINH DOANH ĐẠI LỘ BÌNH DƯƠNG - CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19038219219995
Hải Dương,046,ShopDunk 31 Trần Hưng Đạo - Hải Dương,ĐỊA ĐIỂM KINH DOANH TRẦN HƯNG ĐẠO CHI NHÁNH SHOPDUNK HẢI DƯƠNG CÔNG TY CỔ PHẦN HESMAN VIỆT NAM,19033187656016
